Case ID,Suspect,Variable,Value,Description,Solution
C8400,Mary,Motive,Revenge,Suspect's motive for the crime,Mary
C1631,John,Weapon,Gun,Murder weapon,Mary
C4121,John,Location,Garden,Location of the crime,Peter
C6387,Alice,Location,Kitchen,Location of the crime,John
C7359,Peter,Weapon,Gun,Murder weapon,John
C5914,John,Opportunity,High,Suspect's opportunity to commit the crime,Mary
C8487,Alice,Opportunity,Low,Suspect's opportunity to commit the crime,Peter
C3079,Peter,Motive,Greed,Suspect's motive for the crime,John
C4382,Alice,Location,Living Room,Location of the crime,Alice
C6189,Peter,Location,Kitchen,Location of the crime,Mary
C3811,Alice,Location,Bedroom,Location of the crime,John
C1579,Peter,Opportunity,High,Suspect's opportunity to commit the crime,Alice
C8819,Mary,Opportunity,High,Suspect's opportunity to commit the crime,Peter
C6013,John,Motive,None,Suspect's motive for the crime,Mary
C4728,Alice,Weapon,Gun,Murder weapon,Mary
C3018,Peter,Motive,None,Suspect's motive for the crime,Mary
C4911,Peter,Location,Kitchen,Location of the crime,Peter
C2178,Alice,Weapon,Gun,Murder weapon,John
C6189,John,Opportunity,Medium,Suspect's opportunity to commit the crime,John
C3597,John,Location,Bedroom,Location of the crime,Alice
C7778,John,Weapon,Knife,Murder weapon,Mary
C7974,Mary,Motive,Revenge,Suspect's motive for the crime,Alice
C5350,John,Opportunity,Low,Suspect's opportunity to commit the crime,John
C2802,Peter,Weapon,Fists,Murder weapon,Alice
C3689,Peter,Weapon,Fists,Murder weapon,John
C6666,Mary,Location,Kitchen,Location of the crime,John
C3955,John,Opportunity,High,Suspect's opportunity to commit the crime,Alice
C9504,John,Motive,Revenge,Suspect's motive for the crime,Peter
C7843,John,Location,Kitchen,Location of the crime,John
C6749,Mary,Location,Garden,Location of the crime,John
C7700,Mary,Motive,None,Suspect's motive for the crime,Mary
C9363,Peter,Opportunity,Medium,Suspect's opportunity to commit the crime,Mary
C4815,John,Motive,None,Suspect's motive for the crime,Peter
C8774,Alice,Weapon,Poison,Murder weapon,John
C1243,Alice,Weapon,Fists,Murder weapon,John
C5032,Mary,Motive,Jealousy,Suspect's motive for the crime,Peter
C3723,Mary,Weapon,Knife,Murder weapon,Alice
C2605,Alice,Opportunity,Low,Suspect's opportunity to commit the crime,John
C8886,Mary,Location,Living Room,Location of the crime,Mary
C7305,John,Weapon,Fists,Murder weapon,Peter
C4599,Mary,Weapon,Fists,Murder weapon,Alice
C5371,Mary,Weapon,Poison,Murder weapon,Alice
C9522,Mary,Opportunity,Medium,Suspect's opportunity to commit the crime,Mary
C6614,Alice,Motive,Revenge,Suspect's motive for the crime,Peter
C4079,Alice,Motive,None,Suspect's motive for the crime,John
C7547,Mary,Location,Garden,Location of the crime,John
C1067,Mary,Location,Living Room,Location of the crime,Peter
C4625,Peter,Motive,Greed,Suspect's motive for the crime,Mary
C1515,Peter,Motive,Greed,Suspect's motive for the crime,Alice
C6924,Mary,Location,Living Room,Location of the crime,Mary
C2842,John,Motive,Greed,Suspect's motive for the crime,Mary
C5666,Alice,Weapon,Fists,Murder weapon,Peter
C7566,Alice,Motive,Jealousy,Suspect's motive for the crime,Alice
C6140,Mary,Location,Living Room,Location of the crime,Alice
C5320,Mary,Weapon,Knife,Murder weapon,John
C8965,Peter,Motive,None,Suspect's motive for the crime,John
C1962,Mary,Weapon,Knife,Murder weapon,Mary
C1000,John,Opportunity,Medium,Suspect's opportunity to commit the crime,Alice
C1871,Peter,Weapon,Knife,Murder weapon,Alice
C2125,John,Motive,Jealousy,Suspect's motive for the crime,Alice
C5400,John,Opportunity,High,Suspect's opportunity to commit the crime,Mary
C8656,Alice,Motive,Jealousy,Suspect's motive for the crime,Alice
C8435,Mary,Motive,None,Suspect's motive for the crime,Alice
C9907,John,Motive,Greed,Suspect's motive for the crime,John
C2851,Peter,Motive,Jealousy,Suspect's motive for the crime,Alice
C8082,Alice,Motive,Jealousy,Suspect's motive for the crime,Peter
C1314,Alice,Location,Kitchen,Location of the crime,Alice
C7167,John,Opportunity,Medium,Suspect's opportunity to commit the crime,John
C9413,Mary,Weapon,Gun,Murder weapon,John
C5617,Alice,Motive,Jealousy,Suspect's motive for the crime,John
C2634,Mary,Location,Living Room,Location of the crime,Mary
C5252,Mary,Opportunity,High,Suspect's opportunity to commit the crime,Mary
C7246,Peter,Weapon,Poison,Murder weapon,Alice
C5421,John,Location,Living Room,Location of the crime,John
C7107,Mary,Opportunity,Low,Suspect's opportunity to commit the crime,Alice
C6595,Alice,Weapon,Fists,Murder weapon,Peter
C5652,Alice,Location,Garden,Location of the crime,Peter
C5971,Peter,Location,Garden,Location of the crime,John
C8189,Peter,Location,Bedroom,Location of the crime,Alice
C9108,Mary,Opportunity,Medium,Suspect's opportunity to commit the crime,John
C8560,Peter,Opportunity,Low,Suspect's opportunity to commit the crime,Peter
C3480,Mary,Weapon,Gun,Murder weapon,Mary
C5221,Alice,Opportunity,Low,Suspect's opportunity to commit the crime,Peter
C3537,Alice,Weapon,Gun,Murder weapon,Alice
C9467,Peter,Motive,Greed,Suspect's motive for the crime,Peter
C8551,Mary,Opportunity,Medium,Suspect's opportunity to commit the crime,Mary
C9345,Mary,Motive,Jealousy,Suspect's motive for the crime,Peter
C9943,Alice,Weapon,Poison,Murder weapon,Alice
C1438,Peter,Location,Living Room,Location of the crime,Peter
C8035,John,Motive,None,Suspect's motive for the crime,John
C5128,Peter,Weapon,Gun,Murder weapon,Mary
C6959,John,Location,Living Room,Location of the crime,Peter
C5346,Peter,Opportunity,Medium,Suspect's opportunity to commit the crime,Peter
C5317,Peter,Weapon,Fists,Murder weapon,Alice
C2935,Alice,Opportunity,Low,Suspect's opportunity to commit the crime,Alice
C6727,Mary,Opportunity,Low,Suspect's opportunity to commit the crime,Mary
C5956,Peter,Weapon,Knife,Murder weapon,Alice
C4744,Peter,Weapon,Knife,Murder weapon,John
C2867,Peter,Location,Bedroom,Location of the crime,Peter
C5498,Alice,Opportunity,Low,Suspect's opportunity to commit the crime,Mary
C4254,Mary,Motive,Revenge,Suspect's motive for the crime,Peter
C6460,John,Weapon,Gun,Murder weapon,Mary
C4256,Alice,Opportunity,Low,Suspect's opportunity to commit the crime,Peter
C2668,Mary,Motive,Revenge,Suspect's motive for the crime,Peter
C8942,Mary,Opportunity,Low,Suspect's opportunity to commit the crime,Alice
C3145,Peter,Opportunity,High,Suspect's opportunity to commit the crime,Peter
C7954,John,Opportunity,Medium,Suspect's opportunity to commit the crime,Peter
C2710,Alice,Motive,None,Suspect's motive for the crime,Peter
C1270,Mary,Location,Garden,Location of the crime,John
C2753,John,Opportunity,Medium,Suspect's opportunity to commit the crime,Peter
C6348,Peter,Weapon,Knife,Murder weapon,John
C4809,Alice,Weapon,Fists,Murder weapon,John
C2132,Mary,Motive,Revenge,Suspect's motive for the crime,Peter
C4080,Alice,Weapon,Fists,Murder weapon,Peter
C5503,John,Opportunity,High,Suspect's opportunity to commit the crime,John
C1677,Peter,Location,Garden,Location of the crime,Alice
C4526,Peter,Location,Garden,Location of the crime,Peter
C3828,Alice,Weapon,Gun,Murder weapon,Peter
C4469,John,Location,Kitchen,Location of the crime,Alice
C9495,Alice,Location,Kitchen,Location of the crime,Mary
C7193,Mary,Weapon,Poison,Murder weapon,Mary
C9708,Mary,Weapon,Gun,Murder weapon,Peter
C3065,Alice,Weapon,Knife,Murder weapon,Peter
C5267,Peter,Weapon,Gun,Murder weapon,Alice
C8469,John,Location,Kitchen,Location of the crime,Alice
C6362,John,Motive,Revenge,Suspect's motive for the crime,Peter
C3982,John,Opportunity,Medium,Suspect's opportunity to commit the crime,Mary
C1899,Peter,Weapon,Poison,Murder weapon,Alice
C3922,John,Motive,Revenge,Suspect's motive for the crime,Mary
C8102,John,Weapon,Poison,Murder weapon,Mary
C1509,Mary,Weapon,Knife,Murder weapon,Alice
C1916,Alice,Motive,Jealousy,Suspect's motive for the crime,Peter
C8368,John,Weapon,Knife,Murder weapon,Alice
C5822,Mary,Motive,Revenge,Suspect's motive for the crime,Alice
C3671,Mary,Opportunity,High,Suspect's opportunity to commit the crime,John
C6738,Mary,Weapon,Poison,Murder weapon,Peter
C7515,Mary,Opportunity,Medium,Suspect's opportunity to commit the crime,Mary
C1626,Peter,Weapon,Fists,Murder weapon,Alice
C8908,John,Location,Living Room,Location of the crime,Peter
C8796,Peter,Motive,None,Suspect's motive for the crime,John
C6009,Peter,Location,Living Room,Location of the crime,Peter
C6631,John,Location,Kitchen,Location of the crime,John
C1789,Alice,Location,Living Room,Location of the crime,Peter
C1785,John,Motive,Revenge,Suspect's motive for the crime,Mary
C4079,Alice,Motive,Greed,Suspect's motive for the crime,Mary
C7157,Alice,Weapon,Knife,Murder weapon,Mary
C5979,Peter,Location,Living Room,Location of the crime,Peter
C2956,John,Opportunity,Low,Suspect's opportunity to commit the crime,Peter
C1028,John,Location,Living Room,Location of the crime,John
C1552,John,Motive,Greed,Suspect's motive for the crime,John
C8914,Mary,Location,Garden,Location of the crime,Peter
C4514,Alice,Motive,Revenge,Suspect's motive for the crime,Alice
C4155,Mary,Location,Living Room,Location of the crime,John
C9035,John,Motive,None,Suspect's motive for the crime,John
C9777,Mary,Location,Garden,Location of the crime,Peter
C8936,John,Motive,None,Suspect's motive for the crime,Alice
C8618,Mary,Opportunity,Medium,Suspect's opportunity to commit the crime,John
C5736,Peter,Weapon,Fists,Murder weapon,Mary
C4466,Alice,Motive,Jealousy,Suspect's motive for the crime,John
C6192,John,Opportunity,Low,Suspect's opportunity to commit the crime,Peter
C8294,Peter,Opportunity,Medium,Suspect's opportunity to commit the crime,Peter
C1788,Alice,Motive,Revenge,Suspect's motive for the crime,Peter
C8500,Peter,Location,Bedroom,Location of the crime,Mary
C3479,Mary,Weapon,Poison,Murder weapon,Peter
C8427,John,Motive,Jealousy,Suspect's motive for the crime,Alice
C7984,Peter,Location,Garden,Location of the crime,Alice
C4785,Mary,Opportunity,High,Suspect's opportunity to commit the crime,John
C1704,Alice,Location,Garden,Location of the crime,Peter
C7720,John,Location,Garden,Location of the crime,Peter
C1498,John,Weapon,Knife,Murder weapon,Alice
C6084,Alice,Opportunity,Medium,Suspect's opportunity to commit the crime,Alice
C2478,Peter,Motive,None,Suspect's motive for the crime,John
C7115,Alice,Motive,Revenge,Suspect's motive for the crime,Peter
C6905,John,Weapon,Fists,Murder weapon,Alice
C3990,Mary,Motive,Jealousy,Suspect's motive for the crime,Peter
C1974,Mary,Opportunity,Low,Suspect's opportunity to commit the crime,Peter
C9982,Mary,Opportunity,High,Suspect's opportunity to commit the crime,Peter
C9439,Peter,Opportunity,Low,Suspect's opportunity to commit the crime,Mary
C6939,John,Location,Bedroom,Location of the crime,Alice
C3091,John,Location,Bedroom,Location of the crime,Mary
C3670,John,Location,Kitchen,Location of the crime,Alice
C9923,John,Motive,Revenge,Suspect's motive for the crime,John
C2141,John,Location,Kitchen,Location of the crime,John
C5401,John,Motive,Greed,Suspect's motive for the crime,John
C7338,Mary,Location,Living Room,Location of the crime,John
C5196,Alice,Opportunity,High,Suspect's opportunity to commit the crime,Alice
C6604,Mary,Location,Living Room,Location of the crime,John
C8779,Alice,Weapon,Knife,Murder weapon,Mary
C6487,Alice,Location,Garden,Location of the crime,Mary
C8413,Peter,Location,Kitchen,Location of the crime,Peter
C4643,John,Motive,Jealousy,Suspect's motive for the crime,Alice
C5845,Mary,Opportunity,Medium,Suspect's opportunity to commit the crime,Alice
C1422,John,Motive,Revenge,Suspect's motive for the crime,Mary
C2124,Mary,Location,Living Room,Location of the crime,John
C4975,John,Motive,Jealousy,Suspect's motive for the crime,Peter
C5673,Alice,Opportunity,Medium,Suspect's opportunity to commit the crime,John
C9732,Mary,Weapon,Poison,Murder weapon,Mary
C1605,John,Location,Kitchen,Location of the crime,Peter
C8218,Alice,Location,Bedroom,Location of the crime,Peter
C9466,John,Motive,Greed,Suspect's motive for the crime,John
C2408,Alice,Opportunity,Low,Suspect's opportunity to commit the crime,Mary
C6752,Mary,Opportunity,High,Suspect's opportunity to commit the crime,Alice
C8363,Alice,Opportunity,Medium,Suspect's opportunity to commit the crime,John
C5641,Alice,Opportunity,Low,Suspect's opportunity to commit the crime,Peter
C6141,Alice,Opportunity,Medium,Suspect's opportunity to commit the crime,Alice
C3640,Alice,Location,Living Room,Location of the crime,Alice
C4718,Alice,Motive,Jealousy,Suspect's motive for the crime,Mary
C9405,Alice,Motive,Greed,Suspect's motive for the crime,John
C4963,Mary,Opportunity,High,Suspect's opportunity to commit the crime,Alice
C9088,Alice,Weapon,Gun,Murder weapon,Peter
C5889,Alice,Motive,Revenge,Suspect's motive for the crime,John
C3407,Alice,Motive,Greed,Suspect's motive for the crime,Peter
C7532,Peter,Weapon,Fists,Murder weapon,Peter
C7657,Peter,Weapon,Gun,Murder weapon,John
C2403,Peter,Motive,Greed,Suspect's motive for the crime,Peter
C2304,Peter,Location,Living Room,Location of the crime,Peter
C2417,Peter,Location,Garden,Location of the crime,Mary
C9363,Peter,Opportunity,Low,Suspect's opportunity to commit the crime,Alice
C9414,Alice,Motive,Greed,Suspect's motive for the crime,Peter
C7028,Peter,Motive,Revenge,Suspect's motive for the crime,John
C3241,Mary,Opportunity,High,Suspect's opportunity to commit the crime,Alice
C3516,Peter,Motive,None,Suspect's motive for the crime,John
C2145,John,Motive,Jealousy,Suspect's motive for the crime,Mary
C1649,John,Location,Bedroom,Location of the crime,Alice
C2988,John,Weapon,Gun,Murder weapon,Alice
C1404,John,Location,Living Room,Location of the crime,Alice
C6415,John,Opportunity,Low,Suspect's opportunity to commit the crime,Peter
C8403,Alice,Weapon,Poison,Murder weapon,John
C5855,Peter,Motive,Greed,Suspect's motive for the crime,John
C2686,Alice,Opportunity,High,Suspect's opportunity to commit the crime,John
C6793,John,Opportunity,Low,Suspect's opportunity to commit the crime,John
C2198,John,Location,Kitchen,Location of the crime,Mary
C2377,Mary,Location,Bedroom,Location of the crime,Alice
C3832,Peter,Weapon,Knife,Murder weapon,Alice
C7875,John,Weapon,Poison,Murder weapon,Mary
C6226,Mary,Motive,Revenge,Suspect's motive for the crime,Alice
C6314,John,Location,Living Room,Location of the crime,Mary
C5992,Alice,Motive,Greed,Suspect's motive for the crime,Peter
C3817,Alice,Weapon,Gun,Murder weapon,Peter
C1642,Mary,Opportunity,Medium,Suspect's opportunity to commit the crime,John
C8864,Mary,Weapon,Fists,Murder weapon,Peter
C9187,Alice,Opportunity,Low,Suspect's opportunity to commit the crime,John
C4343,Peter,Weapon,Poison,Murder weapon,Alice
C9045,Mary,Opportunity,Low,Suspect's opportunity to commit the crime,John
C3075,John,Motive,Greed,Suspect's motive for the crime,Peter
C7301,John,Opportunity,Low,Suspect's opportunity to commit the crime,Peter
C3428,Alice,Motive,Jealousy,Suspect's motive for the crime,Peter
C3701,Mary,Weapon,Poison,Murder weapon,Peter
C5260,Mary,Opportunity,Low,Suspect's opportunity to commit the crime,John
C5963,Peter,Opportunity,Medium,Suspect's opportunity to commit the crime,Peter
C5391,Alice,Location,Garden,Location of the crime,Mary
C2788,John,Motive,Greed,Suspect's motive for the crime,Peter
C5821,Alice,Opportunity,High,Suspect's opportunity to commit the crime,Peter
C8385,Peter,Weapon,Knife,Murder weapon,Mary
C4297,Peter,Location,Garden,Location of the crime,Mary
C5752,John,Location,Bedroom,Location of the crime,Mary
C2645,Alice,Opportunity,High,Suspect's opportunity to commit the crime,Peter
C5753,Peter,Opportunity,Medium,Suspect's opportunity to commit the crime,Alice
C2220,Peter,Opportunity,Medium,Suspect's opportunity to commit the crime,Peter
C1496,Peter,Motive,None,Suspect's motive for the crime,Mary
C5731,Mary,Motive,None,Suspect's motive for the crime,Mary
C7315,John,Location,Garden,Location of the crime,Alice
C6404,Mary,Location,Living Room,Location of the crime,Alice
C8133,Alice,Weapon,Knife,Murder weapon,Alice
C6926,John,Motive,Jealousy,Suspect's motive for the crime,John
C4235,Peter,Motive,Jealousy,Suspect's motive for the crime,John
C8902,John,Opportunity,High,Suspect's opportunity to commit the crime,Mary
C7311,Mary,Motive,Revenge,Suspect's motive for the crime,John
C4549,John,Location,Living Room,Location of the crime,Peter
C1562,Peter,Weapon,Fists,Murder weapon,Alice
C9829,Peter,Weapon,Fists,Murder weapon,John
C4908,John,Weapon,Fists,Murder weapon,Mary
C7780,Alice,Weapon,Gun,Murder weapon,Peter
C4839,Mary,Location,Bedroom,Location of the crime,John
C1391,Mary,Opportunity,Low,Suspect's opportunity to commit the crime,Peter
C9593,Mary,Opportunity,Low,Suspect's opportunity to commit the crime,Alice
C1527,Mary,Opportunity,Low,Suspect's opportunity to commit the crime,John
C3388,Mary,Location,Bedroom,Location of the crime,Peter
C2365,Peter,Weapon,Poison,Murder weapon,Alice
C7366,Alice,Weapon,Knife,Murder weapon,John
C1514,Alice,Opportunity,High,Suspect's opportunity to commit the crime,Alice
C7444,John,Motive,None,Suspect's motive for the crime,Alice
C5295,Mary,Location,Living Room,Location of the crime,John
C6819,Alice,Weapon,Poison,Murder weapon,Mary
C8835,Peter,Location,Living Room,Location of the crime,John
C9813,John,Motive,Revenge,Suspect's motive for the crime,Mary
C2158,Peter,Location,Living Room,Location of the crime,John
C7592,Mary,Location,Living Room,Location of the crime,Alice
C7913,John,Location,Living Room,Location of the crime,Mary
C3247,John,Opportunity,High,Suspect's opportunity to commit the crime,Peter
C8314,Peter,Location,Living Room,Location of the crime,John
C6480,Peter,Motive,Revenge,Suspect's motive for the crime,Alice
C4316,Mary,Weapon,Knife,Murder weapon,Alice
C8393,John,Opportunity,Medium,Suspect's opportunity to commit the crime,John
C6343,Peter,Opportunity,High,Suspect's opportunity to commit the crime,Peter
C5150,Peter,Opportunity,High,Suspect's opportunity to commit the crime,Mary
C4436,Mary,Opportunity,High,Suspect's opportunity to commit the crime,Peter
C5958,Alice,Location,Bedroom,Location of the crime,Peter
C7114,Peter,Motive,None,Suspect's motive for the crime,Mary
C1065,Peter,Weapon,Gun,Murder weapon,John
C6483,Mary,Weapon,Poison,Murder weapon,Alice
C7481,John,Opportunity,Low,Suspect's opportunity to commit the crime,John
C5567,Alice,Weapon,Knife,Murder weapon,Peter
C5315,Peter,Weapon,Fists,Murder weapon,John
C4730,Alice,Motive,Revenge,Suspect's motive for the crime,Peter
C3902,Alice,Motive,Jealousy,Suspect's motive for the crime,Peter
C7481,Peter,Motive,Revenge,Suspect's motive for the crime,John
C1543,Alice,Location,Bedroom,Location of the crime,Mary
C8735,Peter,Weapon,Fists,Murder weapon,Mary
C4488,Peter,Motive,None,Suspect's motive for the crime,Mary
C4764,Peter,Weapon,Gun,Murder weapon,Alice
C7608,Peter,Opportunity,Low,Suspect's opportunity to commit the crime,Mary
C8306,Alice,Location,Living Room,Location of the crime,Peter
C8957,Peter,Opportunity,Low,Suspect's opportunity to commit the crime,Peter
C3803,John,Location,Living Room,Location of the crime,Alice
C7886,Alice,Location,Bedroom,Location of the crime,Peter
C7160,John,Weapon,Fists,Murder weapon,Peter
C5289,Mary,Motive,Jealousy,Suspect's motive for the crime,Mary
C4402,Alice,Opportunity,Medium,Suspect's opportunity to commit the crime,Alice
C3190,John,Opportunity,Medium,Suspect's opportunity to commit the crime,Mary
C6588,Alice,Location,Garden,Location of the crime,Alice
C7319,Peter,Motive,Revenge,Suspect's motive for the crime,Alice
C8672,Mary,Opportunity,High,Suspect's opportunity to commit the crime,Peter
C2697,Alice,Opportunity,Medium,Suspect's opportunity to commit the crime,John
C4347,Mary,Opportunity,High,Suspect's opportunity to commit the crime,Mary
C5434,Alice,Weapon,Poison,Murder weapon,Peter
C9578,Alice,Opportunity,Low,Suspect's opportunity to commit the crime,John
C8560,Alice,Motive,Greed,Suspect's motive for the crime,John
C1171,Peter,Motive,None,Suspect's motive for the crime,Mary
C4286,John,Weapon,Gun,Murder weapon,Peter
C7068,Peter,Location,Living Room,Location of the crime,John
C8941,Peter,Motive,Revenge,Suspect's motive for the crime,John
C9834,Mary,Motive,Revenge,Suspect's motive for the crime,Alice
C8525,Mary,Weapon,Fists,Murder weapon,John
C4572,Peter,Opportunity,Low,Suspect's opportunity to commit the crime,Mary
C4342,Mary,Location,Living Room,Location of the crime,Alice
C6124,Mary,Opportunity,High,Suspect's opportunity to commit the crime,Mary
C5790,Alice,Weapon,Gun,Murder weapon,John
C8006,John,Motive,Revenge,Suspect's motive for the crime,Mary
C4991,Alice,Opportunity,Medium,Suspect's opportunity to commit the crime,Alice
C4603,Peter,Opportunity,High,Suspect's opportunity to commit the crime,Peter
C1815,John,Location,Living Room,Location of the crime,Mary
C2761,Mary,Location,Kitchen,Location of the crime,Alice
C5776,Mary,Weapon,Knife,Murder weapon,Peter
C2803,Alice,Motive,Jealousy,Suspect's motive for the crime,John
C9062,Mary,Location,Bedroom,Location of the crime,John
C4240,John,Motive,Greed,Suspect's motive for the crime,Peter
C5061,Mary,Opportunity,Low,Suspect's opportunity to commit the crime,Alice
C7849,Peter,Location,Bedroom,Location of the crime,Peter
C5909,John,Weapon,Fists,Murder weapon,Alice
C6048,Alice,Opportunity,High,Suspect's opportunity to commit the crime,Peter
C3804,Alice,Opportunity,Low,Suspect's opportunity to commit the crime,John
C1265,Alice,Opportunity,High,Suspect's opportunity to commit the crime,John
C1915,Alice,Motive,None,Suspect's motive for the crime,Peter
C7089,John,Location,Kitchen,Location of the crime,Alice
C6121,Peter,Weapon,Poison,Murder weapon,John
C7090,John,Location,Living Room,Location of the crime,Mary
C5903,John,Opportunity,Low,Suspect's opportunity to commit the crime,Alice
C4860,Alice,Location,Living Room,Location of the crime,Alice
C2732,Peter,Weapon,Fists,Murder weapon,Mary
C9232,Peter,Weapon,Fists,Murder weapon,John
C1437,Mary,Weapon,Poison,Murder weapon,Peter
C3833,John,Motive,Revenge,Suspect's motive for the crime,Peter
C3451,Alice,Motive,Greed,Suspect's motive for the crime,John
C2461,Mary,Motive,Greed,Suspect's motive for the crime,Alice
C8619,Peter,Weapon,Poison,Murder weapon,Mary
C2966,Peter,Opportunity,Medium,Suspect's opportunity to commit the crime,Alice
C5306,John,Weapon,Fists,Murder weapon,Mary
C6014,Peter,Motive,Jealousy,Suspect's motive for the crime,Peter
C9205,Mary,Location,Living Room,Location of the crime,Peter
C2952,Alice,Motive,Revenge,Suspect's motive for the crime,Peter
C3187,Alice,Location,Bedroom,Location of the crime,Alice
C9094,Peter,Motive,Jealousy,Suspect's motive for the crime,John
C7004,John,Motive,Revenge,Suspect's motive for the crime,Peter
C1208,Alice,Location,Garden,Location of the crime,Mary
C1749,John,Location,Garden,Location of the crime,Peter
C1738,Peter,Opportunity,Low,Suspect's opportunity to commit the crime,Alice
C8029,Mary,Weapon,Knife,Murder weapon,Peter
C2979,John,Weapon,Gun,Murder weapon,John
C6075,Peter,Location,Kitchen,Location of the crime,Alice
C6677,Mary,Opportunity,Low,Suspect's opportunity to commit the crime,John
C9539,John,Opportunity,High,Suspect's opportunity to commit the crime,Alice
C6490,Alice,Location,Bedroom,Location of the crime,John
C5045,John,Weapon,Poison,Murder weapon,Peter
C1255,John,Location,Kitchen,Location of the crime,Peter
C2236,Mary,Opportunity,Low,Suspect's opportunity to commit the crime,John
C9249,Peter,Motive,Greed,Suspect's motive for the crime,Alice
C4948,Peter,Weapon,Poison,Murder weapon,John
C6831,Alice,Motive,None,Suspect's motive for the crime,Peter
C1024,Mary,Location,Kitchen,Location of the crime,Mary
C2960,Mary,Motive,None,Suspect's motive for the crime,Mary
C6898,Peter,Weapon,Poison,Murder weapon,Peter
C4636,Peter,Location,Bedroom,Location of the crime,Mary
C7924,Peter,Weapon,Knife,Murder weapon,Peter
C9520,Mary,Location,Bedroom,Location of the crime,Alice
C6748,Mary,Motive,Greed,Suspect's motive for the crime,Mary
C4282,John,Motive,Revenge,Suspect's motive for the crime,Mary
C9293,Mary,Opportunity,Medium,Suspect's opportunity to commit the crime,Alice
C1192,Alice,Opportunity,Low,Suspect's opportunity to commit the crime,John
C8016,Mary,Motive,Jealousy,Suspect's motive for the crime,Mary
C7318,John,Weapon,Knife,Murder weapon,Peter
C3751,John,Location,Garden,Location of the crime,Alice
C4874,Peter,Opportunity,Medium,Suspect's opportunity to commit the crime,John
C9197,Alice,Motive,Greed,Suspect's motive for the crime,Mary
C6809,Peter,Motive,Jealousy,Suspect's motive for the crime,Peter
C5076,Alice,Opportunity,High,Suspect's opportunity to commit the crime,Alice
C8488,Peter,Opportunity,Low,Suspect's opportunity to commit the crime,Peter
C6208,Alice,Location,Kitchen,Location of the crime,Peter
C1147,Peter,Weapon,Knife,Murder weapon,Peter
C9516,Mary,Opportunity,Low,Suspect's opportunity to commit the crime,John
C7928,John,Weapon,Poison,Murder weapon,Alice
C6453,Alice,Location,Kitchen,Location of the crime,Peter
C7073,Alice,Motive,Greed,Suspect's motive for the crime,Peter
C3118,Alice,Opportunity,Medium,Suspect's opportunity to commit the crime,Alice
C4254,Peter,Opportunity,Low,Suspect's opportunity to commit the crime,Mary
C1020,Peter,Location,Living Room,Location of the crime,Alice
C9884,Mary,Opportunity,High,Suspect's opportunity to commit the crime,Alice
C6028,Peter,Opportunity,Low,Suspect's opportunity to commit the crime,Mary
C2759,Alice,Weapon,Poison,Murder weapon,Peter
C3791,John,Weapon,Poison,Murder weapon,Mary
C3539,Mary,Weapon,Poison,Murder weapon,John
C5837,Alice,Motive,Greed,Suspect's motive for the crime,Mary
C9560,Alice,Opportunity,Medium,Suspect's opportunity to commit the crime,Alice
C2146,Peter,Motive,None,Suspect's motive for the crime,Mary
C2043,Mary,Motive,None,Suspect's motive for the crime,Alice
C9972,Mary,Location,Living Room,Location of the crime,John
C4555,Peter,Weapon,Poison,Murder weapon,Alice
C3291,Peter,Opportunity,Low,Suspect's opportunity to commit the crime,Mary
C7836,John,Motive,Revenge,Suspect's motive for the crime,Peter
C4202,John,Location,Garden,Location of the crime,Mary
C6756,John,Weapon,Knife,Murder weapon,Alice
C4986,Alice,Opportunity,Low,Suspect's opportunity to commit the crime,John
C7627,Alice,Motive,Revenge,Suspect's motive for the crime,John
C3945,John,Weapon,Fists,Murder weapon,Alice
C1225,Peter,Motive,Jealousy,Suspect's motive for the crime,Peter
C3946,Peter,Opportunity,Low,Suspect's opportunity to commit the crime,Mary
C1034,Alice,Location,Garden,Location of the crime,Alice
C6322,John,Location,Bedroom,Location of the crime,John
C8713,Mary,Location,Living Room,Location of the crime,Peter
C2583,Mary,Motive,Jealousy,Suspect's motive for the crime,John
C6003,Peter,Location,Garden,Location of the crime,Alice
C7789,Mary,Motive,None,Suspect's motive for the crime,Alice
C4026,John,Motive,Revenge,Suspect's motive for the crime,Alice
C6621,Peter,Motive,Jealousy,Suspect's motive for the crime,Alice
C6802,Mary,Motive,Revenge,Suspect's motive for the crime,John
C1816,Peter,Motive,Greed,Suspect's motive for the crime,Mary
C5541,Peter,Motive,Greed,Suspect's motive for the crime,Mary
C4430,John,Motive,Jealousy,Suspect's motive for the crime,John
C4508,Mary,Motive,Jealousy,Suspect's motive for the crime,Alice
C9840,Mary,Motive,Revenge,Suspect's motive for the crime,John
C4349,Alice,Motive,Jealousy,Suspect's motive for the crime,John
C8374,Mary,Opportunity,Low,Suspect's opportunity to commit the crime,Alice
C2955,Mary,Opportunity,Low,Suspect's opportunity to commit the crime,Alice
C1177,Mary,Weapon,Knife,Murder weapon,Mary
C2414,Peter,Weapon,Gun,Murder weapon,Alice
C7126,John,Location,Living Room,Location of the crime,Mary
C8261,Alice,Location,Bedroom,Location of the crime,John
C4520,Alice,Location,Living Room,Location of the crime,John
C8113,Mary,Opportunity,Low,Suspect's opportunity to commit the crime,John
C6593,Alice,Location,Bedroom,Location of the crime,John
C4693,Peter,Opportunity,High,Suspect's opportunity to commit the crime,Alice
C2089,Peter,Motive,Revenge,Suspect's motive for the crime,John
